Funder Name,Funder State,Grantee Name,Grantee City,Grantee State,Year(s),Grant Amount,Types(s) of Support,Description
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$500,000",Building/renovation,For renovation and construction of Baxter Education Center
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2003,"$500,000",Continuing support,
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2003,"$236,618",Program development,For Alliance Charter Network Program
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$100,000",,
Annenberg Foundation,California; United States,Independent School Alliance for Minority Affairs,Los Angeles,California; United States,2008,"$25,000",Continuing support,
Annenberg Foundation,California; United States,Independent School Alliance for Minority Affairs,Los Angeles,California; United States,2007,"$25,000",,
Annenberg Foundation,California; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2005,"$25,000",Building/renovation; Continuing support,For Anne and Kirk Douglas Playground Award Fund
Annenberg Foundation,California; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2004,"$25,000",Building/renovation,For Anne and Kirk Douglas Playground Award Fund
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2003,"$25,000",Building/renovation,For Anne and Kirk Douglas Playground Award Fund
Arata Brothers Trust,California; United States,Alliance for Education Solutions,Sacramento,California; United States,2010,"$36,000",,
AT&T Foundation,Texas; United States,Community Partners,Los Angeles,California; United States,2008,"$100,000",General/operating support; Program development,"For capacity-building of Consejo de Federaciones Mexicanas en Norte America project, providing organization and implementation of immigrant education mobilization program"
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2010,"$25,000",Continuing support; General/operating support,For general support
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2009,"$25,000",Continuing support; General/operating support,For general support for Santa Clara County Partnership for School Readiness
