grant_maker,capacity building,capital,general operating,other,program
"AT&T Foundation",0,0,100000,0,0
"Annenberg Foundation",0,143750,162500,0,236618
"Arata Brothers Trust",0,0,36000,0,0
"Bella Vista Foundation",25000,0,25000,0,25000
"Bill & Melinda Gates Foundation",0,0,0,116666.666666667,1643635
"Binder Foundation",0,0,101000,0,0
"California Community Foundation",0,0,37500,0,0
"Carnegie Corporation of New York",660000,0,244900,35000,536000
"Charter School Growth Fund",0,0,350000,0,0
"Chartwell Charitable Foundation",0,0,100000,0,0
"Conrad N. Hilton Foundation",0,770000,0,0,25000
"Douglas Foundation",0,0,420190,0,0
"Eli & Edythe Broad Foundation",283333.333333333,0,881250,75000,441200
"Enterprise Holdings Foundation",25000,0,25000,0,0
"Evelyn and Walter Haas, Jr. Fund",0,0,60000,0,90833.3333333333
"Ewing Marion Kauffman Foundation",0,0,264569,25000,237344
"Ford Foundation",0,0,0,0,287500
"Frank McHugh-O'Donovan Foundation, Inc.",0,0,250000,0,0
"Freeman Foundation",0,0,81292.6666666667,0,0
"Gleason Family Foundation",0,0,35000,0,0
"Hellman Family Foundation",0,0,25000,0,0
"Jaquelin Hume Foundation",0,0,33333.3333333333,0,0
"John S. and James L. Knight Foundation",0,0,0,0,100000
"John Templeton Foundation",0,0,0,0,40000
"Joseph Drown Foundation",0,0,45000,0,100000
"Kayne Foundation",0,0,40000,0,0
"Lauren B. Leichtman and Arthur E. Levine Family Foundation",0,0,32582,0,0
"Longview Foundation for Education in World Affairs and International Understanding, Inc.",0,0,0,0,25462
"Lumina Foundation",1275133.33333333,0,224700,0,555433.333333333
"Marin Community Foundation",220000,0,220000,0,600000
"Merkin Family Foundation",0,0,40614,0,0
"Mitchell Kapor Foundation",0,0,25000,0,0
"Monterey Peninsula Foundation",0,0,0,0,30000
"Open Society Institute",0,0,0,0,300000
"Phillip and Terri Schrager Foundation",0,0,36000,0,0
"Resnick Foundation",0,0,50000,0,0
"Rockefeller Philanthropy Advisors, Inc.",0,0,0,0,100000
"Rosenberg Foundation",0,0,0,0,50000
"S. H. Cowell Foundation",0,0,300000,0,143333.333333333
"S.D. Bechtel, Jr. Foundation",0,0,25000,0,25000
"Saban Family Foundation",0,0,0,0,25000
"Sierra Health Foundation",0,0,0,0,25000
"Silicon Valley Community Foundation",0,0,46666.6666666667,0,35000
"Skirball Foundation",0,0,194912.666666667,0,0
"Surdna Foundation, Inc.",300000,0,80000,0,125000
"The Ahmanson Foundation",0,387500,27500,0,28333.3333333333
"The Andrew W. Mellon Foundation",0,0,0,0,399666.666666667
"The Atlantic Philanthropies",0,0,2000000,0,0
"The Bank of America Charitable Foundation, Inc.",0,0,25000,0,0
"The California Endowment",0,0,0,0,42500
"The California Wellness Foundation",0,0,210000,0,325000
"The Cynthia L. & William E. Simon, Jr. Foundation",0,0,50000,0,0
"The David and Lucile Packard Foundation",0,0,240857.142857143,0,129372.6875
"The East Bay Community Foundation",0,0,50000,0,0
"The Gary Saltz Foundation, Inc.",0,0,100000,0,0
"The JPMorgan Chase Foundation",0,0,35000,0,0
"The James Irvine Foundation",0,0,70000,0,380000
"The John D. and Catherine T. MacArthur Foundation",0,0,75000,0,0
"The John W. Carson Foundation",0,0,0,0,52500
"The Kimball Foundation",0,0,0,0,35000
"The Kresge Foundation",0,0,0,0,750000
"The Lynde and Harry Bradley Foundation, Inc.",0,0,0,40000,0
"The Pfizer Foundation, Inc.",0,0,58520,0,0
"The Ralph M. Parsons Foundation",75000,0,100000,0,0
"The Riordan Foundation",0,0,100000,0,0
"The Rosalinde and Arthur Gilbert Foundation",0,0,0,0,113500
"The San Francisco Foundation",0,0,32500,0,25000
"The Spencer Foundation",0,0,146276,0,84648.6666666667
"The Teagle Foundation",0,0,0,0,150000
"The Wachovia Wells Fargo Foundation, Inc.",0,0,25000,0,0
"The William and Flora Hewlett Foundation",247000,37066.6666666667,914000,337500,409622.222222222
"The Zellerbach Family Foundation",88000,0,62000,0,41250
"Tides Foundation",0,0,30000,0,0
"Vanguard Charitable Endowment Program",0,0,25000,0,0
"Verizon Foundation",0,0,34333.3333333333,0,0
"W. K. Kellogg Foundation",0,0,75000,100000,242132.75
"W. M. Keck Foundation",0,650000,0,0,250000
"Walter S. Johnson Foundation",0,0,30000,0,0
"Walter and Elise Haas Fund",100000,0,77857.1428571429,0,40000
"Walton Family Foundation, Inc.",0,0,380110,0,230000
"Wasserman Foundation",0,0,500000,0,0
"Weingart Foundation",250000,1125000,0,0,0
"Wells Fargo Foundation",0,0,25000,0,0
"Wilbur May Foundation",0,0,250000,250000,0
"William T. Grant Foundation",0,0,0,0,559916
