grant_maker,capacity building,capital,general operating,other,program
"AT&T Foundation",0,0,100000,0,0
"Annenberg Foundation",0,575000,650000,0,236618
"Arata Brothers Trust",0,0,36000,0,0
"Bella Vista Foundation",25000,0,100000,0,50000
"Bill & Melinda Gates Foundation",0,0,0,350000,9861810
"Binder Foundation",0,0,101000,0,0
"California Community Foundation",0,0,75000,0,0
"Carnegie Corporation of New York",660000,0,244900,35000,2680000
"Charter School Growth Fund",0,0,350000,0,0
"Chartwell Charitable Foundation",0,0,100000,0,0
"Conrad N. Hilton Foundation",0,1540000,0,0,25000
"Douglas Foundation",0,0,420190,0,0
"Eli & Edythe Broad Foundation",850000,0,3525000,75000,2206000
"Enterprise Holdings Foundation",25000,0,25000,0,0
"Evelyn and Walter Haas, Jr. Fund",0,0,300000,0,545000
"Ewing Marion Kauffman Foundation",0,0,264569,25000,237344
"Ford Foundation",0,0,0,0,1150000
"Frank McHugh-O'Donovan Foundation, Inc.",0,0,250000,0,0
"Freeman Foundation",0,0,487756,0,0
"Gleason Family Foundation",0,0,35000,0,0
"Hellman Family Foundation",0,0,25000,0,0
"Jaquelin Hume Foundation",0,0,100000,0,0
"John S. and James L. Knight Foundation",0,0,0,0,200000
"John Templeton Foundation",0,0,0,0,40000
"Joseph Drown Foundation",0,0,270000,0,100000
"Kayne Foundation",0,0,40000,0,0
"Lauren B. Leichtman and Arthur E. Levine Family Foundation",0,0,32582,0,0
"Longview Foundation for Education in World Affairs and International Understanding, Inc.",0,0,0,0,25462
"Lumina Foundation",3825400,0,449400,0,1666300
"Marin Community Foundation",220000,0,440000,0,1200000
"Merkin Family Foundation",0,0,40614,0,0
"Mitchell Kapor Foundation",0,0,50000,0,0
"Monterey Peninsula Foundation",0,0,0,0,30000
"Open Society Institute",0,0,0,0,300000
"Phillip and Terri Schrager Foundation",0,0,36000,0,0
"Resnick Foundation",0,0,100000,0,0
"Rockefeller Philanthropy Advisors, Inc.",0,0,0,0,100000
"Rosenberg Foundation",0,0,0,0,50000
"S. H. Cowell Foundation",0,0,300000,0,430000
"S.D. Bechtel, Jr. Foundation",0,0,25000,0,25000
"Saban Family Foundation",0,0,0,0,25000
"Sierra Health Foundation",0,0,0,0,25000
"Silicon Valley Community Foundation",0,0,140000,0,35000
"Skirball Foundation",0,0,584738,0,0
"Surdna Foundation, Inc.",300000,0,80000,0,375000
"The Ahmanson Foundation",0,1550000,110000,0,85000
"The Andrew W. Mellon Foundation",0,0,0,0,1199000
"The Atlantic Philanthropies",0,0,2000000,0,0
"The Bank of America Charitable Foundation, Inc.",0,0,25000,0,0
"The California Endowment",0,0,0,0,85000
"The California Wellness Foundation",0,0,210000,0,325000
"The Cynthia L. & William E. Simon, Jr. Foundation",0,0,100000,0,0
"The David and Lucile Packard Foundation",0,0,1686000,0,2069963
"The East Bay Community Foundation",0,0,50000,0,0
"The Gary Saltz Foundation, Inc.",0,0,100000,0,0
"The JPMorgan Chase Foundation",0,0,35000,0,0
"The James Irvine Foundation",0,0,210000,0,2660000
"The John D. and Catherine T. MacArthur Foundation",0,0,75000,0,0
"The John W. Carson Foundation",0,0,0,0,105000
"The Kimball Foundation",0,0,0,0,35000
"The Kresge Foundation",0,0,0,0,750000
"The Lynde and Harry Bradley Foundation, Inc.",0,0,0,40000,0
"The Pfizer Foundation, Inc.",0,0,58520,0,0
"The Ralph M. Parsons Foundation",150000,0,200000,0,0
"The Riordan Foundation",0,0,100000,0,0
"The Rosalinde and Arthur Gilbert Foundation",0,0,0,0,227000
"The San Francisco Foundation",0,0,65000,0,50000
"The Spencer Foundation",0,0,146276,0,761838
"The Teagle Foundation",0,0,0,0,150000
"The Wachovia Wells Fargo Foundation, Inc.",0,0,25000,0,0
"The William and Flora Hewlett Foundation",1235000,222400,10054000,675000,18433000
"The Zellerbach Family Foundation",88000,0,62000,0,165000
"Tides Foundation",0,0,30000,0,0
"Vanguard Charitable Endowment Program",0,0,25000,0,0
"Verizon Foundation",0,0,103000,0,0
"W. K. Kellogg Foundation",0,0,75000,100000,968531
"W. M. Keck Foundation",0,1300000,0,0,250000
"Walter S. Johnson Foundation",0,0,30000,0,0
"Walter and Elise Haas Fund",200000,0,545000,0,40000
"Walton Family Foundation, Inc.",0,0,1900550,0,230000
"Wasserman Foundation",0,0,500000,0,0
"Weingart Foundation",250000,4500000,0,0,0
"Wells Fargo Foundation",0,0,25000,0,0
"Wilbur May Foundation",0,0,500000,250000,0
"William T. Grant Foundation",0,0,0,0,559916
